开课状态,课程名称,学分,考核方式,课程性质,任课教师,选课课号,起止周,开课学院,<td>上课时间</td>,<td>上课地点</td>,<td>合班信息</td>
已开,高等数学B2,5,学校组织,通识必修,沈健,(2019-2020-2)-A0714212-40890-1,1月16日,理学院,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周};周三第1.2节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>","<td title=""第7教研楼北120;第7教研楼北120;第6教研楼北314"">第7教研楼北120;第7教研楼北120;...</td>",<td>19194811.19208813</td>
已开,物理学原理及工程应用1,3,学校组织,通识必修,吴玲,(2019-2020-2)-A0715051-40307-1,1月16日,理学院,<td>周三第3.4.5节{第1-16周}</td>,<td>第6教研楼北206</td>,"<td title=""19198711.19200311.19200312.19208811.19208812.19208813.19270303.19272401.19273601.19273602"">19198711.19200311.19...</td>"
已开,大学英语听说2B,1,学校组织,通识必修,贾连庆,(2019-2020-2)-A1101192-40748-5,1月8日,外国语学院,<td>周三第3.4节{第1-8周}</td>,<td>第7教研楼南311</td>,"<td title=""19030411.19030412.19030413.19030414.19030415.19037311.19037312.19037313.19080311.19080312.19080313.19080314.19080315.19080316.19080317.19080318"">19030411.19030412.19...</td>"
已开,互联网技术,4,学院组织,学科必修,王勇,(2019-2020-2)-A1507590-41330-1,1月16日,人文艺术与数字媒体学院、法学院,"<td title=""周一第1.2节{第1-16周};周四第1.2节{第1-16周}"">周一第1.2节{第1-16周};周四第1...</td>","<td title=""第7教研楼中3021;第7教研楼中3022"">第7教研楼中3021;第7教研楼中302...</td>",<td>18222511.18222512</td>
已开,国际经济理论与实践,3,学院组织,学科必修,孙亚轩,(2019-2020-2)-A220093s-41663-1,1月16日,经济学院,"<td title=""周二第6.7节{第1-16周};周二第8节{第1-16周}"">周二第6.7节{第1-16周};周二第8...</td>",<td>第6教研楼北312;第6教研楼北312</td>,<td>18151111</td>
已开,毛泽东思想和中国特色社会主义理论体系概论2,2,学院组织,通识必修,杨乐,(2019-2020-2)-A2301172-42025-3,1月16日,马克思主义学院,<td>周一第10.11节{第1-16周}</td>,<td>第6教研楼中327</td>,"<td title=""18140111.18140112.18140611.18140612"">18140111.18140112.18...</td>"
已开,形势与政策（下）,1,考查,通识必修,刘洋,(2019-2020-2)-A2301192-41083-1,1月16日,党委学生工作部、人民武装部—学生处,<td>周三第8.9节{第1-15周|单周}</td>,<td>第6教研楼北102</td>,"<td title=""18220211.18221111.18221112.18221611"">18220211.18221111.18...</td>"
已开,形势与政策（下）,1,考查,通识必修,宋昱锋,(2019-2020-2)-A2301192-41241-1,1月16日,党委学生工作部、人民武装部—学生处,<td>周三第8.9节{第1-15周|单周}</td>,<td>第6教研楼中125</td>,"<td title=""18062812.18062813.18062814"">18062812.18062813.18...</td>"
已开,形势与政策（下）,1,考查,通识必修,张振宇,(2019-2020-2)-A2301192-42186-1,1月16日,党委学生工作部、人民武装部—学生处,<td>周三第6.7节{第2-16周|双周}</td>,<td>第6教研楼北110</td>,"<td title=""18031313.18031411.18031511"">18031313.18031411.18...</td>"
已开,数据通信与计算机网络,2,学院组织,专业选修,冯维,(2019-2020-2)-B080234s-41666-1,1月16日,通信工程学院,<td>周四第1.2节{第1-16周}</td>,<td>第3教研楼101</td>,<td>17083411.17083412</td>
已开,计算机与网络安全,2.5,考查,专业限选,Mike Kretsis/Arish Siddiqui,(2019-2020-2)-B0804350-ls852-1,1月16日,通信工程学院,<td>&nbsp;</td>,<td>&nbsp;</td>,<td>16089511.16089512</td>
已开,金融风险管理,2,考查,专业选修,刘凡永,(2019-2020-2)-B2208560-40736-2,1月16日,经济学院,<td>周五第3.4节{第1-16周}</td>,<td>第7教研楼北318</td>,<td>17150911.17151013</td>
已开,汽车文化,1,考查,专业任选,孟庆华,(2019-2020-2)-C0103960-40341-1,1月16日,机械工程学院,<td>周四第8.9节{第1-15周|单周}</td>,<td>第6教研楼北112</td>,"<td title=""19010611.19010612.19010613.19010614.19010615.19010616.19010617"">19010611.19010612.19...</td>"
已开,燃烧污染物控制技术,2,考查,专业选修,温正城,(2019-2020-2)-C0717160-41042-1,1月16日,理学院,<td>周四第1.2节{第1-16周}</td>,<td>第6教研楼中221</td>,<td>17073211</td>
已开,电路与电子线路实验1,0.5,考查,实践必修,吕伟锋,(2019-2020-2)-S040069G-40128-1,5月16日,电子信息学院（微电子学院）,"<td title=""周一第10.11.12节{第6-16周|双周}"">周一第10.11.12节{第6-16周|...</td>","<td title=""第2教研楼中229（电路分析.信号系统实验室）"">第2教研楼中229（电路分析.信号系统实...</td>",<td>18170801.19171901</td>
已开,薄膜物理与技术实验,1,考查,实践选修,郑辉,(2019-2020-2)-S0402890-41919-1,5月15日,电子信息学院（微电子学院）,<td>周一第3.4.5节{第5-15周}</td>,<td>第8教研楼301</td>,<td>17042011.17042012</td>
已开,数据结构课程设计,2,考查,实践必修,潘建江,(2019-2020-2)-S0700730-40180-1,4月14日,理学院,"<td title=""周四第6.7节{第4-14周};周四第8节{第4-14周}"">周四第6.7节{第4-14周};周四第8...</td>",<td>第6教研楼北108;第6教研楼北108</td>,<td>18073111.18073112</td>
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-29,2月16日,理学院,"<td title=""周四第6.7节{第2-16周};周四第8节{第2-16周}"">周四第6.7节{第2-16周};周四第8...</td>",<td>大学物理实验中心S;大学物理实验中心S</td>,<td>19200311</td>
已开,大学物理实验A1,1,学院组织,实践必修,待定1,(2019-2020-2)-S0718051-ls702-50,2月16日,理学院,<td>周二第3.4.5节{第2-16周}</td>,<td>大学物理实验中心L</td>,<td>19040315</td>
已开,大学物理实验A1,1,学院组织,实践必修,孙科伟,(2019-2020-2)-S071805G-40188-2,2月16日,理学院,"<td title=""周二第6.7节{第2-16周};周二第8节{第2-16周}"">周二第6.7节{第2-16周};周二第8...</td>",<td>大学物理实验中心E;大学物理实验中心E</td>,<td>19173601</td>
已开,水污染控制工程课程设计,1,考查,实践必修,潘新潮,(2019-2020-2)-S2001370-40827-1,1月5日,材料与环境工程学院,"<td title=""周四第6.7节{第1-5周};周四第8.9节{第1-5周}"">周四第6.7节{第1-5周};周四第8....</td>",<td>第6教研楼北118;第6教研楼北118</td>,<td>17200312</td>
已开,机械设计,3,学校组织,专业必修,孙鲁涌,(2019-2020-2)-A0100790-01020-1,1月16日,机械工程学院,<td>周四第3.4.5节{第1-16周}</td>,<td>第6教研楼北116</td>,<td>18010116</td>
已开,工程热力学Ⅱ(中德）,4,学院组织,学科必修,高寒阳/朱泽飞,(2019-2020-2)-A0108050-41901-1,1月16日,机械工程学院,"<td title=""周三第10.11节{第1-16周};周四第1.2节{第1-16周}"">周三第10.11节{第1-16周};周四...</td>",<td>第12教研楼105;第12教研楼105</td>,<td>17038511</td>
已开,商业模式管理,2,学院组织,专业必修,闫帅,(2019-2020-2)-A0308240-41551-1,1月16日,管理学院,<td>周四第1.2节{第1-16周}</td>,<td>第6教研楼北310</td>,<td>17031211</td>
已开,电路与电子线路1,3,学院组织,学科必修,盛卫琴,(2019-2020-2)-A0400691-41748-1,1月16日,电子信息学院（微电子学院）,"<td title=""周五第6.7节{第1-16周};周五第8节{第1-16周}"">周五第6.7节{第1-16周};周五第8...</td>","<td title=""第7教研楼中3011;第7教研楼中3011"">第7教研楼中3011;第7教研楼中301...</td>",<td>19040321.19040322</td>
已开,通信电路与系统,3,学院组织,专业必修,柯华杰,(2019-2020-2)-A040095G-41608-1,1月16日,电子信息学院（微电子学院）,"<td title=""周一第6.7节{第1-16周};周一第8节{第1-16周}"">周一第6.7节{第1-16周};周一第8...</td>",<td>第6教研楼中105;第6教研楼中105</td>,<td>17171901.18171901</td>
已开,项目管理与案例分析,2,学院组织,通识必修,汤景凡,(2019-2020-2)-A0507970-40297-1,1月16日,计算机学院（软件学院）,<td>周五第8.9节{第1-16周}</td>,<td>第7教研楼北108</td>,<td>17052313.17052314</td>
已开,自动控制原理,4.5,学校组织,学科必修,骆吉安/石义芳,(2019-2020-2)-A0602300-41473-2,1月16日,自动化学院（人工智能学院）,"<td title=""周一第6.7节{第1-16周};周四第3.4.5节{第1-16周}"">周一第6.7节{第1-16周};周四第3...</td>",<td>第3教研楼111;第6教研楼中301</td>,"<td title=""18062819.18184111.18184112.18184411"">18062819.18184111.18...</td>"
