已开,大学英语听说2B,1,学校组织,通识必修,韩国春,(2019-2020-2)-A1101192-40877-10,9~16,周五第1 2节{第9-16周},第3教研楼222,外国语学院,"""19010611 19010612 19010613 19010614 19010615 19010616 19010617 19123811 19124011 19124012 19124111 19220211 19221911 19222511 19222512 19280711 19280712 19280811"""
已开,二外（德语）1,4,学校组织,通识必修,马绎,(2019-2020-2)-A1102851-42219-2,1~16,"""周一第3 4节{第1-16周};周四第3 4节{第1-16周}""",第3教研楼220;第3教研楼220,外国语学院,"""18113711 18113712 18113713 18113714"""
已开,网络图形图像处理1,3,考查,专业必修,付茜茜,(2019-2020-2)-A1206010-41975-1,1~16,"""周一第6 7节{第1-16周};周一第8节{第1-16周}""",第9教研楼107;第9教研楼107,人文艺术与数字媒体学院、法学院,19124111
已开,环境工程设计与运行,2,学院组织,专业必修,马青兰/刘洁,(2019-2020-2)-A2005510-01060-1,1~16,周三第1 2节{第1-16周},第6教研楼中429,材料与环境工程学院,17200312
已开,投资学原理1,3,学校组织,学科必修,田穗,(2019-2020-2)-A2208681-03065-1,1~16,周三第10 11 12节{第1-16周},第7教研楼南115,经济学院,18151011
已开,思想道德修养与法律基础,3,学院组织,通识必修,王胡英,(2019-2020-2)-A2301160-38029-1,1~16,周二第1 2节{第1-16周},第7教研楼北218,马克思主义学院,19222511 19222512
已开,思想道德修养与法律基础,3,学院组织,通识必修,徐芳,(2019-2020-2)-A2301160-40499-3,1~16,周二第1 2节{第1-16周},第6教研楼北408,马克思主义学院,19040321 19040322
已开,毛泽东思想和中国特色社会主义理论体系概论2,2,学院组织,通识必修,杨乐,(2019-2020-2)-A2301172-42025-4,1~16,周一第1 2节{第1-16周},第7教研楼北406,马克思主义学院,"""18140613 18140614 18140911"""
已开,大学生职业发展与就业指导2,0.5,考查,通识必修,李风啸,(2019-2020-2)-A8400012-42208-1,3~12,周三第8 9节{第3-11周|单周},第6教研楼北302,党委学生工作部、人民武装部—招生就业处（创业学院）,"""18031211 18031311 18031313 18031512"""
已开,计算机控制系统,2.5,学院组织,专业选修,陈雪亭,(2019-2020-2)-B0602990-02017-1,1~16,周四第3 4 5节{第1-16周},第7教研楼北316,自动化学院（人工智能学院）,17062816 17062911
已开,证券投资分析,2,考查,专业选修,丁胜,(2019-2020-2)-B2204240-41212-1,1~16,周五第3 4节{第1-16周},第7教研楼北308,经济学院,17151111
已开,计算机取证,2,学院组织,专业选修,王小军,(2019-2020-2)-B2701350-07023-1,1~16,周一第1 2节{第1-16周},第7教研楼北120,网络空间安全学院（浙江保密学院）,"""17270211 17273611 17273612"""
已开,大学计算机基础,1,考查,通识选修,李玉,(2019-2020-2)-C0501290-42156-1,1~16,周二第6 7节{第1-15周|单周},第7教研楼北308,计算机学院（软件学院）,19148315 19148316
已开,工程伦理学,1,考查,专业选修,欧军,(2019-2020-2)-C0803410-41762-1,1~8,周四第8 9节{第1-8周},第7教研楼中2022,通信工程学院,17083415
已开,三维动画设计,3,考查,专业选修,段宇杰,(2019-2020-2)-C1507180-41543-1,1~8,"""周三第3 4 5节{第1-8周};周五第6 7节{第1-8周};周五第8节{第1-8周}""","""第12教研楼401;第12教研楼401;第12教研楼401""",人文艺术与数字媒体学院、法学院,19221811
已开,电路与电子线路实验1,0.5,考查,实践必修,吕伟锋,(2019-2020-2)-S0400691-40128-12,5~16,周四第3 4 5节{第6-16周|双周},"""第2教研楼中209（电路分析.信号系统实验室）""",电子信息学院（微电子学院）,19040322
已开,电路分析实验,1,考查,实践必修,吕伟锋,(2019-2020-2)-S0403050-40128-10,6~16,周二第3 4 5节{第6-16周},"""第2教研楼中229（电路分析.信号系统实验室）""",电子信息学院（微电子学院）,19080315
已开,高级语言程序设计,1,考查,实践选修,任坤,(2019-2020-2)-S0403530-41144-2,5~15,"""周二第6 7节{第5-15周};周二第8节{第5-15周}""","""第2教研楼中237（单片机实验室）;第2教研楼中237（单片机实验室）""",电子信息学院（微电子学院）,"""17041816 17041817 17041818 17041819 17041820"""
已开,创新实践2,2,考查,实践必修,余宙,(2019-2020-2)-S0500782-41882-1,1~16,周三第1 2节{第1-16周},&nbsp;,计算机学院（软件学院）,"""18052311 18052312 18052313 18052314 18052315 18052316 18052317 18052318 18052319 18052320 18052321 18052711 18052712 18059611"""
已开,光电技术实验1,1,考查,实践必修,黄春云,(2019-2020-2)-S0716281-04186-1,7~14,"""周四第6 7节{第7-14周};周四第8 9节{第7-14周}""","""第6教研楼南302B;第6教研楼南302B""",理学院,19070511
已开,数据结构课程实践,1,考查,实践必修,邸晓飞/陈阳,(2019-2020-2)-S0802560-41971-1,5~15,周二第3 4 5节{第5-15周},第1教研楼108,通信工程学院,18083412
已开,硬件综合项目设计实践,3,考查,实践选修,骆懿,(2019-2020-2)-S0802810-07029-4,1~16,"""周一第6 7节{第1-16周};周一第8节{第1-16周}""",第1教研楼338;第1教研楼338,通信工程学院,17083414
已开,信号与电路系统实验,1,考查,实践必修,盛庆华,(2019-2020-2)-S1804120-40068-1,5~15,周二第10 11 12节{第5-15周},"""第2教研楼中213（电路分析.信号系统实验室）""",电子信息学院（微电子学院）,19184111
已开,无机非金属材料科学基础实验,1,考查,实践必修,张春晓/朱怡雯,(2019-2020-2)-S2002840-41352-1,9~16,"""周二第1 2节{第9-16周};周二第3 4节{第9-16周}""",第3教研楼529;第3教研楼529,材料与环境工程学院,18208812
已开,计算机基础（2）,3,学校组织,必修,徐恩友,(2019-2020-2)-Y0500012-06051-1,1~16,周一第3 4 5节{第1-16周},第6教研楼中329,计算机学院（软件学院）,19079911
已开,智能检测与控制技术,1,考查,专业选修,吴立群,(2019-2020-2)-YJ010050-01024-1,1~16,周三第1 2节{第1-16周},第6教研楼北308,机械工程学院,"""16010111 16010112 16010113 16010114 16010115 16010511 16010512 16019011 16019711 17010111 17010112 17010113 17010114 17010511 17019011 18010111 18010112 18010113 18010114 18010115"""
已开,智能感知系统集成技术,1,学院组织,专业选修,董林玺,(2019-2020-2)-YJ040030-40196-1,1~16,周四第8 9节{第1-16周},第6教研楼北110,电子信息学院（微电子学院）,"""17040211 17041811 17041812 17041813 17041814 17041815 17041816 17041817 17041818 17041819 17041820 17041821 17041822 17041823 17041824 17041825 17041911 17041912 17184111 17184112"""
